"fipstate","year","naics","emp","qp1","ap","est"
"08",1998,"484///",15778,111591,492165,1536
"08",1998,"485///",3793,17454,63132,150
"08",1998,"486///",220,3174,12589,23
"08",1998,"487///",0,0,0,30
"08",1998,"488///",5015,32257,122314,437
"08",1998,"492///",10734,72188,304432,232
"08",1998,"493///",0,0,0,88
"08",1998,"511///",23340,269682,1109859,917
"08",1998,"512///",4058,16548,67646,424
"08",1998,"513///",44391,610488,2531134,1169
"08",1998,"514///",8465,93711,386507,384
"08",1998,"521///",0,0,0,1
"08",1998,"522///",44070,399989,1646602,3070
"08",1998,"523///",12608,224156,880027,1449
"08",1998,"524///",40555,451989,1741616,3318
"08",1998,"525///",0,0,0,21
"08",1998,"531///",26137,160636,692232,5694
"08",1998,"532///",11970,68767,283639,1249
"08",1998,"533///",533,7635,32330,57
"08",1998,"541///",117740,1277250,5631574,16281
"08",1998,"551///",37410,500299,1932765,917
"08",1998,"561///",142725,723573,3214558,6869
"08",1998,"562///",8043,79371,336210,324
"08",1998,"611///",23700,124336,521825,1415
"08",1998,"621///",66651,537077,2448265,7648
"08",1998,"622///",60677,467497,1943487,88
"08",1998,"623///",28510,124614,504705,692
"08",1998,"624///",24963,87932,371010,1991
"08",1998,"711///",4758,83083,308316,541
"08",1998,"712///",1036,4572,22308,136
"08",1998,"713///",30134,116145,446767,1254
"08",1998,"721///",40929,158229,641864,1531
"08",1998,"722///",151703,370821,1566355,8670
"08",1998,"811///",22548,130541,578970,4156
"08",1998,"812///",19520,70948,302327,3040
"08",1998,"813///",41093,188752,785441,4356
"09",1998,"113///",0,0,0,15
"09",1998,"114///",0,0,0,22
"09",1998,"115///",0,0,0,61
"09",1998,"211///",0,0,0,7
"09",1998,"212///",0,0,0,59
"09",1998,"213///",0,0,0,7
"09",1998,"221///",11353,198176,739992,138
"09",1998,"233///",11804,107668,534188,2643
"09",1998,"234///",11925,100702,550225,450
"09",1998,"235///",36312,289483,1447383,6186
"09",1998,"311///",8891,57859,253366,310
"09",1998,"312///",0,0,0,20
"09",1998,"313///",3041,26154,113291,54
"09",1998,"314///",1529,7946,41604,87
"09",1998,"315///",1983,11667,48723,77
"09",1998,"316///",0,0,0,8
"09",1998,"321///",1499,10770,50160,123
"09",1998,"322///",5980,54961,242149,90
"09",1998,"323///",13333,119638,502232,652
"09",1998,"324///",453,4393,25821,41
